purpose,priority
Срочный: ЕНВД за отчетный период 70972 (основание: договор 690) (ИП «Трофимова»),3
Исполнительное производство 17242 о возмещении вреда здоровью,1
"Срочный: Платеж за проведение тренинга 59741, ИНН 628798948329 Черный",5
"ФСС: ВЗНОСЫ НА ТРАВМАТИЗМ 91542, ИНН 548802767736",3
Платеж за юридические услуги 40346 от 25.07.2024 (основание: договор 403),5
Срочный: Оплата банковских услуг 28458,5
Оплата командировочных расходов 34931 (ИП «Ларионов Харитонов»),5
Срочный: Медицинская компенсация по судебному решению 88282,1
"ПЛАТЕЖНОЕ ПОРУЧЕНИЕ НА НАЛОГ НА ПРИБЫЛЬ 38165, ИНН 764621154810 (ООО «Виноградов-Дьячкова»)",3
Срочный: Оплата хостинга за Июль 13277 (ГК Титан),5
Платеж за проведение тренинга 71608 от 28.03.2025 от 21.11.2024,5
Срочный: Срочный: Перечисление за аренду оборудования 95908 от 23.01.2025,5
Срочный: Срочный: Перечисление за аренду офиса 55763 от 09.05.2025,5
"Водный налог 86341 с НДС, ИНН 205867012334 (ОАО «Калинина-Лобанов»)",3
Срочный: Перечисление за аренду офиса 82379 без НДС (Билла (Rewe)),5
Перечисление средств по исп. документу 23489 о возмещении вреда жизни Темно-красный,1
"Срочный: Платеж за поставку канцтоваров 91086 (основание: договор 317), ИНН 533878928213",5
Медицинская компенсация по судебному решению 34860 (основание: договор 561),1
Срочный: Платеж за проведение тренинга 50040 без НДС,5
Срочный: Оплата услуг охраны 76715 от 18.09.2024,5
"Платеж за юридические услуги 83710 (РАО «Ефимов Лебедев»), ИНН 514994366835 (АО «Крюков Крылова»)",5
Срочный: Таможенные платежи по декларации 17663 (основание: договор 322),3
"ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 33991 (ОАО «КИСЕЛЕВ, ПОПОВА И АКСЕНОВ»)",5
"Перечисление средств по исп. документу 56129 о возмещении вреда жизни без НДС, ИНН 649764268037",1
"ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 61903 без НДС, ИНН 578189971479",5
Срочный: Таможенные платежи по декларации 65878,3
"ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 50555, ИНН 734135151845",5
Срочный: Оплата банковских услуг 9763,5
НДС ЗА 2 КВАРТАЛ 2023 43959 (основание: договор 650),3
Срочный: Водный налог 66686 от 30.08.2024,3
Земельный налог 96089 от 01.02.2025 Зеленый,3
"Взыскание алиментов по исп. листу 19085 от 26.09.2024, ИНН 145934945602",1
Срочный: Перечисление за аренду оборудования 57699 (Федосеев Групп),5
Платеж за проведение тренинга 83266 без НДС Аквамарин Темный хаки,5
Платеж по накладной с НДС,5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №48207 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 64019 ОТ 09.03.2025 БЛЕДНО-БИРЮЗОВЫЙ,5
Перечисление за аренду офиса 39018 (НПО «Колобова Федотова») от 18.02.2025,5
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 91228 с НДС,5
Исполнительный лист №45047 о возмещении вреда здоровью от 10.11.2024,1
Срочный: Перечисление средств по исп. документу 29978 о возмещении вреда жизни,1
Срочный: Оплата хостинга за Июль 95447 (ЗАО «Исакова»),5
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 38767 ОТ 16.03.2025,5
"Перечисление за аренду офиса 50101 (основание: договор 833) (ОАО «Бирюков, Ильин и Ермаков») с НДС",5
"Исполнительное производство 4335 о возмещении вреда здоровью, ИНН 447667216572 с НДС",1
Срочный: Срочный: Возмещение ущерба здоровью по исп. листу 62846,1
"Земельный налог 62061 (АО «Михайлов, Савин и Якушева»), ИНН 571561592518 без НДС",3
Срочный: Оплата хостинга за Июль 1849 Тусклый серый,5
Срочный: Платеж за юридические услуги 37888 с НДС от 07.05.2025,5
"Налог на имущество организаций 62955 (основание: договор 251) без НДС, ИНН 198453948921",3
"Компенсация морального вреда по решению суда 70925, ИНН 358394693763 Темно-синий",1
"Водный налог 11193, ИНН 566657702836",3
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 37566 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ (ОСНОВАНИЕ: ДОГОВОР 199),1
Компенсация по соглашению ИНН 707241235256 КПП 205726670,5
ОПЛАТА УСЛУГ ОХРАНЫ 25582 (ЗАО «МИРОНОВА») С НДС,5
Срочный: Таможенные платежи по декларации 47087,3
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 4864 С НДС ОТ 16.09.2024,5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 7188 ОТ 28.01.2025,5
"ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 15702, ИНН 119940994225",5
Благотворительное пожертвование 36267 (Орехова Инкорпорэйтед),5
